Proportion,Accuracy_fixe_one,Number_fixe_one,Accuracy_fixe_zero,Number_fixe_zero
0.1,0.0,0.0,1.0,94.0
0.2,0.0,0.0,1.0,188.0
0.30000000000000004,0.0,0.0,1.0,282.0
0.4,0.0,0.0,1.0,376.02222222222224
0.5,0.0,0.0,1.0,470.0
0.6000000000000001,0.0,0.0,1.0,564.0
0.7000000000000001,0.0,0.0,1.0,658.0222222222222
0.8,0.0,0.0,1.0,752.0
0.81,0.0,0.0,1.0,761.4
0.8200000000000001,0.0,0.0,1.0,770.8
0.8300000000000001,0.0,0.0,0.9999464,780.2
0.84,0.0,0.0,0.99994713,789.6
0.85,0.0,0.0,0.99994767,799.0
0.86,0.0,0.0,0.99994826,808.4
0.87,0.0,0.0,0.99991703,817.8
0.88,0.0,0.0,0.9999179,827.2
0.89,0.0,0.0,0.9998689,836.6222222222223
0.9,0.0,0.0,0.9997408,846.0
0.91,0.0,0.0,0.99959105,855.4
0.92,0.0,0.0,0.99888086,864.8
0.93,0.0,0.0,0.998652,874.2
0.9400000000000001,0.0,0.0,0.99797666,883.6
0.9500000000000001,0.0,0.0,0.99701756,893.0
0.96,0.0,0.0,0.9952335,902.4
0.97,0.022222222222222223,0.022222222222222223,0.992511,911.7777777777778
0.98,0.13333333333333333,0.2,0.98839444,921.0
0.99,0.17037037081188625,0.35555555555555557,0.98192376,930.2444444444444
1.0,0.4566666669315762,1.4222222222222223,0.9741189,938.5777777777778
