Epsilon,Accuracy_fixe_one,Number_fixe_one,Correct_One/Total_One
0.0,0.0,0.0,0.0
0.01,0.03333333333333333,0.03333333333333333,0.0009803922
0.02,0.06666666666666667,0.06666666666666667,0.0019607844
0.03,0.1,0.1,0.0029411765
0.04,0.16666666666666666,0.16666666666666666,0.0048739496
0.05,0.16666666666666666,0.16666666666666666,0.0048739496
0.06,0.26666666666666666,0.3,0.008739497
0.07,0.36666666666666664,0.4,0.01157174
0.08,0.4666666666666667,0.5,0.014375973
0.09,0.4666666666666667,0.5333333333333333,0.015301899
0.1,0.4666666666666667,0.5333333333333333,0.015301899
0.11,0.5,0.6333333333333333,0.018106133
0.12,0.48333333333333334,0.6666666666666666,0.018106133
0.13,0.5055555555555555,0.8333333333333334,0.020964831
0.14,0.6388888888888888,1.0333333333333334,0.026629321
0.15,0.7277777777777777,1.2333333333333334,0.031339873
0.16,0.7444444444444444,1.3666666666666667,0.03417056
0.17,0.7777777777777778,1.4333333333333333,0.036131345
0.18,0.7777777777777778,1.4333333333333333,0.036131345
0.19,0.7722222222222221,1.5,0.037057273
0.2,0.7722222222222221,1.5,0.037057273
0.21,0.7722222222222221,1.5,0.037057273
0.22,0.8055555555555555,1.6333333333333333,0.039943982
0.23,0.8555555555555555,1.8,0.04386555
0.24,0.8444444444444444,2.1,0.0507283
0.25,0.8388888888888889,2.4,0.05647059
0.26,0.8230555555555557,3.466666666666667,0.08083723
0.27,0.8147222222222223,3.566666666666667,0.08279801
0.28,0.8147222222222223,3.566666666666667,0.08279801
0.29,0.8091666666666668,3.6666666666666665,0.084704325
0.3,0.8067857142857144,3.8666666666666667,0.088597886
0.4,0.7096125102631026,19.9,0.4093402
0.5,0.6694700154190942,26.0,0.49545443
