Epsilon,Accuracy_fixe_one,Number_fixe_one,Correct_One/Total_One
0.0,0.0,0.0,0.0
0.01,0.03333333333333333,0.03333333333333333,0.0009259259
0.02,0.06666666666666667,0.1,0.0028867102
0.03,0.1,0.13333333333333333,0.0038126362
0.04,0.1,0.13333333333333333,0.0038126362
0.05,0.1,0.13333333333333333,0.0038126362
0.06,0.1,0.16666666666666666,0.0038126362
0.07,0.1,0.23333333333333334,0.0057189544
0.08,0.1,0.26666666666666666,0.0057189544
0.09,0.1,0.3,0.0057189544
0.1,0.1,0.3,0.0057189544
0.11,0.13333333333333333,0.3333333333333333,0.006671335
0.12,0.13333333333333333,0.3333333333333333,0.006671335
0.13,0.13333333333333333,0.3333333333333333,0.006671335
0.14,0.15,0.4,0.007651727
0.15,0.15,0.4,0.007651727
0.16,0.15,0.43333333333333335,0.008577654
0.17,0.18333333333333332,0.4666666666666667,0.009530035
0.18,0.31666666666666665,0.6333333333333333,0.013395581
0.19,0.4111111111111111,0.8,0.0181606
0.2,0.4888888888888889,1.0666666666666667,0.023769068
0.21,0.625,1.4,0.030357923
0.22,0.7583333333333333,2.1,0.04756614
0.23,0.7844444444444445,2.6666666666666665,0.059000943
0.24,0.8494444444444446,3.3,0.07716154
0.25,0.8066666666666669,3.8666666666666667,0.08949425
0.26,0.7954761904761906,4.266666666666667,0.09700903
0.27,0.788346560846561,4.966666666666667,0.11051511
0.28,0.7338179413179414,6.166666666666667,0.12777622
0.29,0.7275945731828085,8.433333333333334,0.17359479
0.3,0.7151019922343451,10.866666666666667,0.21947403
0.4,0.6869308160967605,22.533333333333335,0.44151574
0.5,0.6505756898314373,27.533333333333335,0.5086617
