Epsilon,Accuracy_fixe_one,Number_fixe_one,Correct_One/Total_One
0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0
0.02,0.0,0.0,0.0
0.03,0.0,0.0,0.0
0.04,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.06,0.0,0.0,0.0
0.07,0.0,0.0,0.0
0.08,0.0,0.0,0.0
0.09,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.11,0.0,0.0,0.0
0.12,0.0,0.0,0.0
0.13,0.0,0.0,0.0
0.14,0.0,0.0,0.0
0.15,0.0,0.0,0.0
0.16,0.0,0.0,0.0
0.17,0.0,0.0,0.0
0.18,0.0,0.0,0.0
0.19,0.1,0.1,0.0029411765
0.2,0.13333333333333333,0.13333333333333333,0.003921569
0.21,0.25555555555555554,0.4,0.010756303
0.22,0.6222222222222221,0.9,0.02390601
0.23,0.8777777777777778,1.7333333333333334,0.043048557
0.24,0.8305555555555556,2.466666666666667,0.060227208
0.25,0.8372222222222222,3.3666666666666667,0.080863684
0.26,0.8077777777777779,3.566666666666667,0.081789605
0.27,0.8077777777777779,3.566666666666667,0.081789605
0.28,0.7944444444444445,3.7333333333333334,0.08467476
0.29,0.7292063492063493,4.7,0.09720043
0.3,0.7356878306878308,5.566666666666666,0.11647992
0.4,0.6881753700132406,23.266666666666666,0.45532683
0.5,0.6570380717591919,26.3,0.48990354
