Epsilon,Accuracy_fixe_one,Number_fixe_one,Correct_One/Total_One
0.0,0.0,0.0,0.0
0.01,0.34814814814814815,0.5555555555555556,0.017653223
0.02,0.5675925925925925,2.311111111111111,0.07976605
0.03,0.6442328042328043,3.2888888888888888,0.11393677
0.04,0.80328313661647,4.911111111111111,0.17860101
0.05,0.8482928491261826,6.6,0.24224567
0.06,0.9350619442286109,8.577777777777778,0.32164484
0.07,0.9434146237319613,10.155555555555555,0.38944697
0.08,0.9341800049127191,11.71111111111111,0.44915217
0.09,0.9319165347464357,12.955555555555556,0.5025952
0.1,0.9235924553735385,14.066666666666666,0.5454317
0.11,0.940109444595378,15.177777777777777,0.5863356
0.12,0.9362892849054865,16.155555555555555,0.6282553
0.13,0.9280885273252422,16.866666666666667,0.6547109
0.14,0.9210882271013455,17.555555555555557,0.6834925
0.15,0.9207222953732616,18.2,0.71068376
0.16,0.9173566212187464,18.77777777777778,0.7285341
0.17,0.9110221160300824,19.444444444444443,0.7488162
0.18,0.9085569281592277,19.866666666666667,0.7615842
0.19,0.9079914694918655,20.266666666666666,0.77846265
0.2,0.9006990200698896,20.755555555555556,0.79245114
0.21,0.899137666873877,21.2,0.8090648
0.22,0.8963165647866784,21.444444444444443,0.8172891
0.23,0.8897413549836648,21.68888888888889,0.8212947
0.24,0.8876154890137128,21.8,0.82489234
0.25,0.8852553258977048,22.133333333333333,0.83753103
0.26,0.8797331020825477,22.4,0.8418942
0.27,0.8776744290632486,22.6,0.84773093
0.28,0.8774890106231862,22.8,0.8561337
0.29,0.8777786012068944,22.933333333333334,0.86158955
0.3,0.8783681648807401,23.155555555555555,0.87312055
0.4,0.8762765923985919,23.511111111111113,0.881834
0.5,0.8761244113166198,23.6,0.8843394
