Epsilon,Accuracy_fixe_one,Number_fixe_one,Correct_One/Total_One
0.0,0.0,0.0,0.0
0.01,0.3037037037037037,0.6444444444444445,0.030084636
0.02,0.6333333333333333,2.0,0.090569414
0.03,0.7455555555555555,3.6222222222222222,0.15974702
0.04,0.8582010582010582,5.133333333333334,0.22816041
0.05,0.9143518518518519,6.555555555555555,0.29386076
0.06,0.9490040460628697,8.044444444444444,0.35579216
0.07,0.9416067103786402,9.333333333333334,0.4088928
0.08,0.9628675645342311,10.755555555555556,0.4666211
0.09,0.963068438468896,11.911111111111111,0.50937074
0.1,0.9511587611002814,12.911111111111111,0.5459045
0.11,0.9496479231083694,14.0,0.5875116
0.12,0.943960168032845,14.88888888888889,0.6209886
0.13,0.9338926194345945,15.71111111111111,0.6470649
0.14,0.9328441328334763,16.155555555555555,0.66338503
0.15,0.9316267349144887,16.77777777777778,0.6866555
0.16,0.9266535984838418,17.244444444444444,0.69928586
0.17,0.9256935045677738,17.8,0.7196404
0.18,0.9257935654924594,18.266666666666666,0.7368395
0.19,0.9235535287757509,18.91111111111111,0.7606605
0.2,0.9228034019336703,19.22222222222222,0.77488834
0.21,0.9163721391214769,19.622222222222224,0.784444
0.22,0.9105503910312417,20.066666666666666,0.7956483
0.23,0.9067960658105125,20.466666666666665,0.8061066
0.24,0.907000779082692,20.666666666666668,0.81258214
0.25,0.9052495519147984,20.91111111111111,0.8193658
0.26,0.9002674912174096,21.288888888888888,0.83009815
0.27,0.8971756249400867,21.644444444444446,0.8380145
0.28,0.8935680641377546,21.88888888888889,0.84431183
0.29,0.890576314057164,22.155555555555555,0.8507467
0.3,0.888267566521312,22.333333333333332,0.8560267
0.4,0.8793753189642699,23.22222222222222,0.87794316
0.5,0.8771993588115546,23.488888888888887,0.8825073
